Project ID,Customer ID,Project Name,Project Status,Start Date,End Date,Project Manager,Budget,Actual Cost,Notes
P001,C001,Greentown Outdoor Advertising Design,Completed,2024/01/11,2011/02/27,Alex Wang,36518,45272,On schedule
P002,C002,Ronshine Billboard Installation,Planning,2007/04/26,2024/08/15,Alex Wang,44480,92898,Over budget
P003,C003,Poly Exhibition Booth Setup,Planning,2016/01/23,2009/05/28,Jane Li,58648,34616,On schedule
P004,C004,Jiangshan Branding Design,Terminated,2010/10/17,2022/02/27,Michael Zhang,94620,77812,On schedule
P005,C005,China Resources Event Promotion Planning,Canceled,2015/02/18,2016/02/12,Alex Wang,37833,56095,Client satisfaction
P006,C006,United Property Signage Design,Terminated,2014/08/10,2006/02/25,Jane Li,87722,51314,Client satisfaction
P007,C007,Poly Advertising Campaign,In Progress,2017/09/04,2018/05/12,Alex Wang,42103,87151,Faced challenges
P008,C008,Yinyi Advertising Board Maintenance,Terminated,2020/12/01,2006/12/21,Jane Li,52275,78865,Client satisfaction
P009,C009,Intime Seasonal Promotion Planning,In Progress,2022/07/23,2016/07/24,Emma Chen,88970,42461,Client satisfaction
P010,C010,C&D Neighborhood Event Organization,Completed,2011/03/04,2014/06/06,David Liu,34855,54961,Faced challenges
P011,C011,Greentown Billboard Installation,Planning,2017/04/16,2022/06/18,David Liu,58048,51274,Client satisfaction
P012,C012,Ronshine Seasonal Promotion Planning,Canceled,2010/09/10,2012/01/13,Alex Wang,37919,85482,On schedule
P013,C013,Poly Neighborhood Event Organization,In Progress,2017/11/21,2023/05/08,Alex Wang,91338,39594,On schedule
P014,C014,Jiangshan Outdoor Advertising Design,Completed,2020/09/04,2023/08/26,Jane Li,51648,81617,Faced challenges
P015,C015,China Resources Branding Design,Canceled,2015/04/17,2022/03/28,Alex Wang,57063,82222,Client satisfaction
P016,C016,United Exhibition Booth Setup,Canceled,2013/09/22,2013/07/18,Michael Zhang,85269,55896,On schedule
P017,C017,Poly Event Promotion Planning,Planning,2009/04/17,2019/07/16,Michael Zhang,69106,77242,Client satisfaction
P018,C018,Yinyi Property Signage Design,Terminated,2011/10/08,2020/07/27,Alex Wang,82847,46444,Faced challenges
P019,C019,Intime Billboard Installation,Completed,2011/11/06,2018/12/04,David Liu,87495,63539,Over budget
P020,C020,C&D Branding Design,Terminated,2018/09/21,2023/02/09,Michael Zhang,63447,92482,Over budget
P021,C021,Greentown Exhibition Booth Setup,Terminated,2021/05/20,2010/01/19,David Liu,75902,75539,Client satisfaction
P022,C022,Ronshine Event Promotion Planning,Terminated,2011/03/20,2008/07/24,Emma Chen,44070,67737,Client satisfaction
P023,C023,Poly Advertising Board Maintenance,Terminated,2019/01/25,2015/11/08,Alex Wang,62848,53832,Faced challenges
P024,C024,Jiangshan Neighborhood Event Organization,Terminated,2018/11/23,2024/11/22,Michael Zhang,92687,30902,On schedule
P025,C025,China Resources Seasonal Promotion Planning,Terminated,2011/05/21,2022/02/24,Jane Li,55938,45348,Faced challenges
P026,C026,United Billboard Installation,In Progress,2007/08/13,2020/04/19,Alex Wang,47162,67962,Faced challenges
P027,C027,Poly Branding Design,Terminated,2017/09/13,2024/12/08,Michael Zhang,46439,81500,Faced challenges
P028,C028,Yinyi Exhibition Booth Setup,Canceled,2013/03/28,2008/03/25,Emma Chen,98392,62237,Over budget
P029,C029,Intime Event Promotion Planning,Canceled,2007/04/18,2011/07/11,Jane Li,83430,92435,Client satisfaction
P030,C030,C&D Property Signage Design,Canceled,2008/08/27,2006/08/06,David Liu,80314,38713,Client satisfaction
P031,C031,Greentown Seasonal Promotion Planning,Canceled,2020/09/12,2009/06/10,Jane Li,82526,35681,Over budget
P032,C032,Ronshine Branding Design,Completed,2016/03/12,2008/09/04,Jane Li,61030,84378,On schedule
P033,C033,Poly Billboard Installation,Terminated,2023/11/07,2022/12/12,David Liu,74079,68377,Client satisfaction
P034,C034,Jiangshan Exhibition Booth Setup,In Progress,2007/12/13,2023/08/08,Jane Li,97977,87550,On schedule
P035,C035,China Resources Advertising Campaign,Terminated,2019/04/02,2010/06/13,Jane Li,76967,53437,Client satisfaction
P036,C036,United Neighborhood Event Organization,Planning,2021/07/13,2020/01/11,Jane Li,62697,69023,Faced challenges
P037,C037,Poly Property Signage Design,Canceled,2009/04/17,2006/11/13,Emma Chen,35950,40312,Client satisfaction
P038,C038,Yinyi Seasonal Promotion Planning,Terminated,2012/01/13,2011/08/11,David Liu,90790,46402,Over budget
P039,C039,Intime Advertising Board Maintenance,In Progress,2019/01/13,2007/09/28,Emma Chen,54359,77471,Faced challenges
P040,C040,C&D Billboard Installation,Canceled,2019/02/24,2012/01/17,Emma Chen,95131,60529,Over budget
P041,C041,Greentown Branding Design,Terminated,2021/11/09,2008/04/25,David Liu,35667,28172,On schedule
P042,C042,Ronshine Outdoor Advertising Design,Completed,2016/10/27,2024/03/12,David Liu,30745,38667,Client satisfaction
P043,C043,Poly Event Promotion Planning,Canceled,2017/03/18,2012/04/19,Emma Chen,31000,51223,Client satisfaction
P044,C044,Jiangshan Seasonal Promotion Planning,Planning,2006/10/22,2020/02/05,Jane Li,75207,53557,On schedule
P045,C045,China Resources Neighborhood Event Organization,Terminated,2021/10/03,2015/02/23,Alex Wang,85134,33394,Client satisfaction
P046,C046,United Branding Design,Terminated,2024/10/20,2024/10/22,Alex Wang,76070,34987,Over budget
P047,C047,Poly Billboard Installation,In Progress,2023/08/04,2007/06/22,Alex Wang,67418,53249,Faced challenges
P048,C048,Yinyi Exhibition Booth Setup,In Progress,2022/06/11,2019/06/22,David Liu,96615,43007,Client satisfaction
P049,C049,Intime Seasonal Promotion Planning,Completed,2012/10/08,2016/04/28,Emma Chen,55112,59417,On schedule
P050,C050,C&D Advertising Campaign,In Progress,2017/04/06,2013/05/27,Emma Chen,75487,25502,Faced challenges
P051,C051,Greentown Billboard Installation,In Progress,2016/09/08,2019/06/17,Jane Li,90867,27302,On schedule
P052,C052,Ronshine Property Signage Design,In Progress,2020/01/09,2007/11/23,Alex Wang,78148,28393,Over budget
P053,C053,Poly Neighborhood Event Organization,Planning,2019/03/20,2018/05/21,Jane Li,31601,38104,Client satisfaction
P054,C054,Jiangshan Outdoor Advertising Design,Canceled,2018/12/19,2011/03/26,David Liu,86874,92980,Over budget
P055,C055,China Resources Event Promotion Planning,Canceled,2009/03/13,2010/09/20,Emma Chen,32706,62978,On schedule
P056,C056,United Advertising Campaign,Terminated,2022/09/12,2009/04/17,Michael Zhang,40289,45305,On schedule
P057,C057,Poly Branding Design,Completed,2013/09/13,2007/12/18,Michael Zhang,63075,69919,Over budget
P058,C058,Yinyi Property Signage Design,Canceled,2011/09/16,2006/04/05,Michael Zhang,87797,69747,Faced challenges
P059,C059,Intime Event Promotion Planning,Completed,2024/08/02,2015/11/15,Jane Li,61251,54136,On schedule
P060,C060,C&D Billboard Installation,Planning,2017/12/20,2022/05/07,Jane Li,93253,72475,Over budget
P061,C061,Greentown Property Signage Design,Planning,2010/09/10,2009/09/27,Alex Wang,94988,25732,On schedule
P062,C062,Ronshine Event Promotion Planning,Canceled,2016/07/03,2012/11/26,Alex Wang,62649,37222,Client satisfaction
